ИНН;Полное юридическое наименование:;Руководитель:;ИНН / КПП:;Уставной капитал:;Количество учредителей:;Дата регистрации:;Статус:;Уникальный учетный номер;Идентификационный код (ИКО);Дата присвоения ИКО;Адрес;Почтовый адрес;КПП;Дата постановки организации на учет в налоговом органе;Полномочия;Контактное лицо;Адрес электронной почты;Телефон;Полное наименование;Факс;Сайт;Сокращенное наименование;ВД по ЕГРЮЛ;Запасы, тыс.руб.;Оборотные активы, тыс.руб.;Выручка, тыс.руб.;Валовая прибыль, тыс.руб.;Прибыль от продаж, тыс.руб.;Чистая прибыль, тыс.руб.;Численность персонала:;Основные средства, тыс.руб.;Себестоимость продаж, тыс.руб.
7701011412;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСИНЖСТРОЙ""";ВРЕМЕННЫЙ ЕДИНОЛИЧНЫЙ ИСПОЛНИТЕЛЬНЫЙ ОРГАН Машин Алексей Николаевич;7701011412 / 770101001;507.072 млн.руб.;998;04.07.2002;Действующее;04730000164;57701011412770101001;22.10.2019;101000, ГОРОД МОСКВА, ПЕР. АРХАНГЕЛЬСКИЙ, дом Д. 8/2, корпус СТР. 1;101000, Г МОСКВА, ПЕР АРХАНГЕЛЬСКИЙ, ДОМ 8/2, СТРОЕНИЕ 1;770101001;30.12.2005;Заказчик;Румянцева А. В.;info@tinso.ru;+7 (495) 625-63-45;Управление производственно-технологической комплектации  «Спецстройкомплектация» АО «Трансинжстрой»;+7 (495) 628-91-10;www.tinso.ru;УПТК АО «Трансинжстрой»;Производство прочих деревянных строительных конструкций и столярных изделий;6607040;14840400;1780940;1780940;175067;141989;;;
3808226156;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Учетно - сервисный центр ЕвроСибЭнерго"""; Фенстер Владислав Викторович Генеральный Директор;3808226156 / 380801001;333.333 тыс.руб.;3;23.10.2012;Действующее;;63808226156380801001;08.02.2018;664025, . Иркутская область, null null, null. null, УЛ БУРЛОВА, Г ИРКУТСК;664050, Иркутская обл, г Иркутск, ул Байкальская, дом 295, корпус б;;;ЗаказчикОрганизация, являющейся представителем заказчика;Царук С. А.;partners@usc-eurosib.ru;;;;;;Консультирование по вопросам коммерческой деятельности и управления;1215;709016;1182270;247692;204869;117492;577;6196;934574
1655068636;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ДИРЕКЦИЯ СПОРТИВНЫХ И СОЦИАЛЬНЫХ ПРОЕКТОВ""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Денисов Максим Сергеевич;1655068636 / 165501001;;4;14.08.2009;Действующее;;;;;;;;;;;;;;;;Разработка компьютерного программного обеспечения;39685;350347;205459;3535;3535;-4838;;74324;201924
7701011412;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСИНЖСТРОЙ""";ВРЕМЕННЫЙ ЕДИНОЛИЧНЫЙ ИСПОЛНИТЕЛЬНЫЙ ОРГАН Машин Алексей Николаевич;7701011412 / 770101001;507.072 млн.руб.;998;04.07.2002;Действующее;04730000164;57701011412770101001;22.10.2019;101000, ГОРОД МОСКВА, ПЕР. АРХАНГЕЛЬСКИЙ, дом Д. 8/2, корпус СТР. 1;101000, Г МОСКВА, ПЕР АРХАНГЕЛЬСКИЙ, ДОМ 8/2, СТРОЕНИЕ 1;770101001;30.12.2005;Заказчик;Румянцева А. В.;info@tinso.ru;+7 (495) 625-63-45;Управление производственно-технологической комплектации  «Спецстройкомплектация» АО «Трансинжстрой»;+7 (495) 628-91-10;www.tinso.ru;УПТК АО «Трансинжстрой»;Производство прочих деревянных строительных конструкций и столярных изделий;6607040;14840400;1780940;1780940;175067;141989;;;
7721787940;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮРАЙТ""";ДИРЕКТОР Бердинских Борис Александрович;7721787940 / 772101001;400 тыс.руб.;2;12.03.2013;Действующее;;57721787940772101001;04.05.2017;109456г МОСКВА, пр-кт РЯЗАНСКИЙ, 75, 4;109456, г. Москва, Рязанский проспект, д. 75, корп. 4;;;Заказчик;Бердинских;bb@wiseadvice.ru;+7 (495) 995-82-58;;;http://you-right.ru/;;Торговля розничная лентами и дисками без записей в специализированных магазинах;0;0;43250;0;0;166;4;0;41001
7724839643;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦАРИЦЫНСКОЕ ПОДВОРЬЕ""";ДИРЕКТОР Молчанова Юлия Михайловна;7724839643 / 772401001;7.01 млн.руб.;2;05.07.2012;Действующее;;;;;;;;;;;;;;;;Деятельность агентов по оптовой торговле пищевыми продуктами, напитками и табачными изделиями;239;2045;37609;5191;996;457;5;63;32418
2319053628;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ Камелия""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Коток Юрий Валериевич;2319053628 / 231901001;10 тыс.руб.;2;25.12.2012;Действующее;;;;;;;;;;;;;;;;Деятельность гостиниц и прочих мест для временного проживания;41633;287443;1316640;355307;179779;125787;207;71493;961337
7701168244;"Образовательное частное учреждение дополнительного профессионального образования ""Центр обучения ""Специалист"" УНЦ при МГТУ им. Н.Э. Баумана";ДИРЕКТОР Звездочкин Дмитрий Юрьевич;7701168244 / 770301001;;4;20.02.2012;Действующее;;;;;;;;;;;;;;;;Деятельность по созданию и использованию баз данных и информационных ресурсов;263;197965;336655;50897;50897;54650;;1389;285758
1644056149;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТатАвтоматизация""";" Директор Ооо ""Татинтекс"" Ахметзянов Рустам Расимович";1644056149 / 164401001;200 тыс.руб.;1;05.08.2009;Действующее;;;;;;;;;;;;;;;;Предоставление прочих услуг, связанных с добычей нефти и газа;26716;322902;356711;37914;5747;-15860;215;11771;318797
3661044154;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ДОАО ГПИНЖ""";главный врач Ильин Сергей Николаевич;3661044154 / 366101001;100 тыс.руб.;1;21.05.2008;Действующее;;;;;;;;;;;;;;;;Деятельность больничных организаций;121;5389;33553;14451;919;889;20;4033;19102
1644045764;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ  ""ТАТСПЕЦТРАНСПОРТ""";ДИРЕКТОР Нургалиев Рамиль Мизхатович;1644045764 / 164401001;1.5 млн.руб.;1;10.08.2007;Юридическое лицо находится в процессе реорганизации в форме присоединения к нему других юридических лиц с 16 ноября 2022 года;;;;;;;;;;;;;;;;Добыча сырой нефти и нефтяного (попутного) газа;41243;1777170;6106540;641981;-33762;257070;5694;2482560;5464560
1644013875;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАТНЕФТЬ - АКТИВ""";ДИРЕКТОР Абдуллин Марсель Фагимович;1644013875 / 164401001;8015.36 млн.руб.;1;25.11.2002;Юридическое лицо находится в процессе реорганизации в форме присоединения к нему других юридических лиц с 14 сентября 2022 года;;;;;;;;;;;;;;;;Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата;1588330;7713950;2275660;-125979;-141696;-233392;402;8150820;2401640
1644047828;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАТБУРНЕФТЬ""";ДИРЕКТОР Катков Сергей Евгениевич;1644047828 / 164401001;1.17647 млн.руб.;1;12.02.2008;Действующее;;;;;;;;;;;;;;;;Предоставление прочих услуг в области добычи нефти и природного газа;518505;2572720;4858610;222680;-180677;1241940;1281;2429530;4635930
5012083843;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКОЕ СТРЕЛКОВОЕ ОРУЖИЕ""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Бойцова Ольга Александровна;5012083843 / 183201001;289.05 млн.руб.;1;15.04.2014;Действующее;;;;;;;;;;;;;;;;Торговля оптовая одеждой, включая спортивную, кроме нательного белья;282038;816405;3218920;481695;219729;150343;77;2192;2737230
6672337623;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТМ-Сервис""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Зайцев Олег Евгеньевич;6672337623 / 668501001;59.0334 млн.руб.;1;08.04.2011;Действующее;;;;;;;;;;;;;;;;"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением";2020360;7666350;18863400;3395650;1858970;687127;;124475;-15467700
7703781103;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТНОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬНЫМИ КОНТРАКТАМИ""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Новиков Антон Владимирович;7703781103 / 781001001;10.13 млн.руб.;1;12.12.2012;Действующее;;;;;;;;;;;;;;;;Строительство жилых и нежилых зданий;1316;1349620;604167;604167;-45167;95752;161;27758;0
3663104391;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИЧЕСКОЙ КОМПЕТЕНЦИИ АДДИТИВНЫХ ТЕХНОЛОГИЙ""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Мазалов Алексей Борисович;3663104391 / 366301001;314.56 млн.руб.;2;16.05.2014;Действующее;04310000022;53663104391366301001;08.08.2017;394056, Воронежская обл, г Воронеж, р-н Левобережный, ул Солдатское поле, дом 285/5;394056, Россия, г. Воронеж, ул. Солдатское поле, 285/5;;16.05.2014;Заказчик;Королева Ольга Николаевна;olga.mikhneva@3d-made.com;+7 (473) 206-77-88;;+7 (473) 206-77-85;www.3d-made.com;;Производство прочих технических керамических изделий;19411;28537;53266;15133;1837;20;13;188239;38133
7702745198;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ ГОРОДСКОЙ ЦЕНТР ПРОДАЖИ НЕДВИЖИМОСТИ"""; Генеральный Директор Илларионов Сергей Михайлович;7702745198 / 770201001;1506.63 млн.руб.;1;01.11.2010;Действующее;04732000023;57702745198770201001;03.01.2015;129090, Г МОСКВА, УЛ ГИЛЯРОВСКОГО, дом 4, корпус 1;129090, Москва, Гиляровского, дом 4, корпус 1;;01.11.2010;Заказчик;Николаевская Светлана Александровна;zakupki@uez.ru;+7 (495) 607-93-66;;607-93-66;;;Разборка и снос зданий, производство земляных работ;23765300;47749700;16474300;15073500;14243400;9634740;123;83492;1400830
7729666240;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Энергодом сервис""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Мураховец Виктор Михайлович;7729666240 / 772901001;10 тыс.руб.;1;19.10.2010;Действующее;;;;;;;;;;;;;;;;Предоставление услуг в области растениеводства;21458;102872;239956;56093;-44124;-36330;160;5680;-183863
7724017435;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦАРИЦЫНО""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Траханова Елена Михайловна;7724017435 / 772401001;82.072 тыс.руб.;65;16.10.2002;Действующее;;57724017435772401001;30.09.2022;115516, Г МОСКВА,Б-Р КАВКАЗСКИЙ, дом 58, корпус СТР.1;115516, г.Москва, Кавказский бульвар, д.58, стр.1;;;Заказчик;Смирнова Н. Л.;office@tsaritsyno.ru;;;;;;Передача электроэнергии;531879;1262510;4579010;-140227;-140669;-75153;980;564656;4719240
7701045732;"МОСКОВСКАЯ ТЕРРИТОРИАЛЬНАЯ ФИРМА ""МОСТООТРЯД 4"" - ФИЛИАЛ ОТКРЫТОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""МОСТОТРЕСТ""";ДИРЕКТОР Бычков Владимир Евгеньевич;7701045732 / 770402001;;;03.06.1994;Внесение записи о государственной регистрации юридического лица признано ошибочным по решению регистрирующего органа с 02 апреля 2009 года;;;;;;;;;;;;;;;;;;;;;;;;;
5902131473;"Акционерное общество ""ЭНЕРГОСЕРВИС""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Зубарев Сергей Юрьевич;5902131473 / 590401001;25.2 млн.руб.;5;27.09.2002;Действующее;;;;;;;;;;;;;;;;Ремонт машин и оборудования;112342;757061;2171310;194870;81582;58469;922;43290;1976440
7730631876;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Межрегионэнергострой"""; Генеральный Директор Долин Юрий Ефимович;7730631876 / 773001001;10 тыс.руб.;1;16.09.2010;Действующее;;77730631876773001001;03.01.2015;121059, Москва, Брянская, дом 5;121059, Москва, Брянская, дом 5, 4 этаж;;;Заказчик;Зайцев  Дмитрий Сергеевич;info@mr-energostroy.ru;;;;;;Производство, передача и распределение электроэнергии;6;385771;2264370;1307630;1280590;822046;13;5242;-956741
7328046337;"Акционерное общество ""Ульяновский государственный проектно-конструкторский институт авиационной промышленности""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Маркелов Степан Витальевич;7328046337 / 732801001;804 тыс.руб.;1;26.12.2002;Действующее;;67328046337732801001;03.01.2015;432010, Ульяновская обл, г Ульяновск, ул Врача Михайлова, дом 34;432057, Ульяновская обл, г Ульяновск, ул Врача Михайлова, дом 34;;;Заказчик;Панин Сергей Николаевич;info@ulgap.ru;+7 (8422) 55-12-72;;;info@ulgap.ru;;Проектирование производственных помещений, включая размещение машин и оборудования;2284;43293;57292;21590;10143;7058;34;1696;35702
1624004368;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРСАР""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Раимов Асаф Магсумович;1624004368 / 165901001;1147.2 млн.руб.;2;14.10.2002;Действующее;;51624004368165901001;03.01.2015;420064, РЕСПУБЛИКА ТАТАРСТАН,ГОРОД КАЗАНЬ,УЛИЦА ОРЕНБУРГСКИЙ ТРАКТ, дом 144;420064, Респ Татарстан, г Казань, р-н Приволжский, ул Оренбургский Тракт, дом 144;;;ЗаказчикОрганизация, являющейся представителем заказчика;Раимов А. М.;info@karsar.ru;;;;;;"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха";11664;269416;2840600;106602;-33169;-24239;436;2323770;2734000
5014000338;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРАЙСКХЛЕБОПРОДУКТ""";КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ Красильников Сергей Владимирович;5014000338 / 501401001;17.897 тыс.руб.;33;10.11.2002;Юридическое лицо признано несостоятельным (банкротом) и в отношении него открыто конкурсное производство с 14 октября 2019 года;;55014000338501401001;03.01.2015;140600обл МОСКОВСКАЯ, г ЗАРАЙСК, ул МОСКОВСКАЯ, 24;140600, Московская обл., г. Зарайск, ул. Московская, д.24;;;Заказчик;Евланов Андрей Васильевич;zar-zerno@list.ru;+7 (49666) 2-60-03;;2-60-03;;;Торговля оптовая кормами для сельскохозяйственных животных;53;93119;741;-1254;-8401;-1667920;1;19319;1995
6902008908;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТВЕРСКОЙ ВАГОНОСТРОИТЕЛЬНЫЙ ЗАВОД""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Овелян Артем Апетнакович;6902008908 / 695201001;249.605 тыс.руб.;998;14.08.2002;Действующее;;56902008908695201001;13.12.2019;170003, ОБЛАСТЬ ТВЕРСКАЯ,ГОРОД ТВЕРЬ,ШОССЕ ПЕТЕРБУРГСКОЕ, дом ДОМ 45-Б;170003  г. Тверь, Петербургское шоссе 45-б;;;Заказчик;Григорьева О. Д.;tvz@tvz.ru;;;;;;Производство инструмента;18127400;62672400;56470500;5626400;1290860;-2919240;7673;7633340;50844000
1435126890;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""АК БАРС КАПИТАЛ""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Гайзатуллин Рамиль Ринатович;1435126890 / 165701001;102 млн.руб.;4;15.08.2002;Действующее;;71435126890165701001;09.02.2018;420124, РЕСПУБЛИКА ТАТАРСТАН, Г. КАЗАНЬ, УЛ. МЕРИДИАННАЯ, дом Д. 1А;420124, г Казань, ул Меридианная, дом 1А;165701001;;ЗаказчикОрганизация, являющейся представителем заказчика;Исхакова Д. Ф.;;;;;www.akbars-capital.ru;;420124, РЕСПУБЛИКА ТАТАРСТАН, Г. КАЗАНЬ, УЛ. МЕРИДИАННАЯ, дом Д. 1А;32;1301430;213066;199310;68377;120268;32;581;13756
5053040581;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВХОЗ ""ЭЛЕКТРОСТАЛЬСКИЙ""";ДИРЕКТОР Радин Андрей Юрьевич;5053040581 / 503101001;50 тыс.руб.;1;20.05.2005;Действующее;;55053040581503101001;13.06.2019;142470, ОБЛАСТЬ МОСКОВСКАЯ, СЕЛО ИВАНИСОВО;142407, Московская область, г. Ногинск, 2 Истомкинский пр-д, д. 2а;;;Заказчик;Савина Владислава Владимировна;ankudinova-darya2013@yandex.ru;+7 (903) 262-42-56;;;;;Смешанное сельское хозяйство;289;0;5532;0;0;632;5;1244;4647
7713070229;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕГЕТТА""";ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Соловьев Игорь Вячеславович;7713070229 / 504701001;5 млн.руб.;2;28.11.2002;Действующее;;57713070229773101001;03.01.2015;141720, обл МОСКОВСКАЯ, г ДОЛГОПРУДНЫЙ, мкр ШЕРЕМЕТЬЕВСКИЙ, ул ЮЖНАЯ, дом 1, корпус 33;141720, Московская область, г.Долгопрудный, мкрн. Шереметьевский, ул. Южная, д.1, стр.33;773101001;;Заказчик;Горбенко Денис Анатольевич;micex@mail.ru;+7 (916) 513-94-42;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕГЕТТА""";;;;Передача электроэнергии и технологическое присоединение к распределительным электросетям;74;156332;420102;238171;179456;136582;86;86404;181931
7107003575;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТУЛЬСКИЙ ТАКСОПАРК""";" Управляющая Компания Ооо ""Гк ""Автошина""";7107003575 / 710701001;9.891 тыс.руб.;69;22.11.2002;Действующее;;57107003575710701001;03.01.2015;300012, Тульская, Тула, Рязанская, дом 38;300012, г.Тула, ул. Рязанская, д.38;;;Заказчик;Шальмиев Ерухом Илизирович;omanager@taxopark.tula.net;+7 (4872) 24-03-41;"Открытое акционерное общество ""Тульский таксопарк""";24-03-59;;;Производство пара и горячей воды (тепловой энергии) котельными;77275;340294;581026;86410;25460;23949;60;96919;494616
6911022708;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО РЕДКИНО""";КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ Сергеева Александра Алексеевна;6911022708 / 694901001;100 тыс.руб.;1;02.03.2005;Юридическое лицо признано несостоятельным (банкротом) и в отношении него открыто конкурсное производство с 09 декабря 2022 года;;56911022708694901001;03.01.2015;171261, ОБЛАСТЬ ТВЕРСКАЯ,РАЙОН КОНАКОВСКИЙ,ПОСЕЛОК ГОРОДСКОГО ТИПА РЕДКИНО,УЛИЦА ПАРКОВАЯ, дом 43;171261, Тверская обл, Конаковский р-н, пгт Редкино, ул Парковая, дом 43;;;Заказчик;Березин Павел Павлович;servic12007@yandex.ru;;;;;;Ремонт электрического оборудования;4242;90506;248165;2498;2498;59;232;897;245667
5263052431;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТРУМЕНТ""";ДИРЕКТОР Малов Евгений Александрович;5263052431 / 525701001;10 тыс.руб.;1;25.01.2006;Действующее;;55263052431525701001;07.07.2021;603028, ОБЛАСТЬ НИЖЕГОРОДСКАЯ, null null, Г.. НИЖНИЙ НОВГОРОД, ПР-Д БАЗОВЫЙ, null null, Д. 1, ПОМЕЩ. 1;603142, г Нижний Новгород, ул Вязниковская, дом 2 Б;525701001;;Заказчик;Малов А. Е.;tender@instrument52.ru;+7 (831) 423-53-04;;;;;Обработка металлов и нанесение покрытий на металлы;51;0;277216;0;0;1982;56;400;273560
